,rxcui,name,tty,classId,className,classType
0,1000082,alcaftadine,IN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
1,1000581,trichlorfon,IN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
2,1001,antipyrine,IN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
3,1001472,dutasteride / tamsulosin,MIN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
4,1002293,formoterol / mometasone,MIN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
5,10030,stannous fluoride,IN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
6,10032,stanozolol,IN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
7,1005921,ulipristal,IN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
8,1006975,sulfamerazine / trimethoprim,MIN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
9,1007319,chloroquine / proguanil,MIN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
10,1007489,felodipine / metoprolol,MIN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
11,1007761,efavirenz / emtricitabine / tenofovir disoproxil,MIN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
12,1007769,bismuth subcitrate / metronidazole / tetracycline,MIN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
13,1007909,naloxone / tilidine,MIN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
14,1007976,deoxyribonucleases / plasmin,MIN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
15,1008145,emtricitabine / tenofovir disoproxil,MIN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
16,1008332,sulfadiazine / tetroxoprim,MIN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
17,1008789,efavirenz / lamivudine / tenofovir disoproxil,MIN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
18,1009,antithrombin III,IN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
19,1009148,ampicillin / sulbactam,MIN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
20,1009219,aliskiren / amlodipine,MIN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
21,10106,streptokinase,IN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
22,10109,streptomycin,IN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
23,10114,streptozocin,IN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
24,1011450,didecyldimethylammonium chloride,IN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
25,1011650,pegloticase,IN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
26,1012892,fingolimod,IN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
27,10154,succinylcholine,IN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
28,10156,sucralfate,IN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
29,10167,sulbactam,IN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
30,10168,sulbenicillin,IN,0,Anatomical Therapeutic Chemical (ATC1-4),ATC1-4
